ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240001,2024-06-20 01:36,2024-06-20 02:17,2024-06-22 21:12,resolved,chat,C103739,,VA-EB-PL1,Billing & Payments,High,Billing,A3027,,,,,N,"paid, confirmed, then nothing. 5 days and counting",Cx says dlvry delayed. Raised ticket with crr partner. xfer to Logistics. Re-shipped from warehouse. (SOP 3.1),legacy_fd
TK-240003,2024-06-29 16:59,2024-06-29 20:23,2024-06-29 15:09,resolved,email,C105788,VR898250,VA-EB-PL1,Billing & Payments,High,Billing,A3028,,,,,N,"paid on 19 jun, still waiitng for something to show up. vr898250",customer states ord not delivered. chk awb w/ crr. xfer to logistics. rfnd initiated as lost in transit.,legacy_fd
TK-240004,2024-06-29 20:11,2024-06-29 20:14,2024-07-02 15:06,resolved,chat,C105697,,VA-EB-PL1,Billing & Payments,Normal,Billing,A3035,,,,,N,"Daer team, Ordered the Pulse buds in June.  Money gone from account, item not with me, 11 days. I checked the tracking page daily. Nothing changed. What do I do now? Regards Aarav","1. Order not delivered
2. Confirmed address with cx
3. Courier confirmed delivery for 03 Jul, cx informed",legacy_fd
TK-240005,2024-07-02 13:40,2024-07-02 14:19,2024-07-05 08:50,resolved,chat,C104586,VR893392,VA-EB-PL1,Billing & Payments,High,Billing,A3028,,2,1999,LOST-TRANSIT,N,money went out of my account 10 days ago and I have nothing in hand. pls call me on my registered number,"misrouted - dlvry. xfer. ticket raised for shipment not rcvd. conf address w/ cx. xfer to logistics. rfnd approved, rs 1999, 5-7 working days.",legacy_fd
TK-240006,2024-07-07 11:53,2024-07-07 12:52,2024-07-07 07:41,resolved,social,C103758,VR885310,VA-AC-CH65,Billing & Payments,High,Billing,A3029,,,,,N,"hello
the amount got deducted and since then total silence, no update, nothing at my door
your charger VR885310","payment ok. shipment issue. -> logistics delivery delayed | checked awb with courier -> rto confirmed, reshipped | xfer logistics",legacy_fd
TK-240008,2024-07-09 08:07,2024-07-09 08:25,2024-07-11 03:24,resolved,social,C105424,VR893961,VA-NB-ARC,Billing & Payments,High,Billing,A3032,,3,,,N,"hi there, ordered the neckband 2 weeks ago.  i haven't received my order, payment was done on 05 jul. i checked the tracking page daily. kindly look into it. plaese revert varun",issue: shipment not received | raised ticket with courier partner -> refund initiated as lost in transit [closed],legacy_fd
TK-240009,2024-07-09 10:14,2024-07-09 10:26,2024-07-14 05:32,resolved,chat,C107457,VR889769,VA-EB-PL1,Billing & Payments,Normal,Billing,A3033,,,,,N,"Dear Sir/Madam,

I am writting with reefrence to my order of the Pulse buds (VR889769) placed on 01 Jul.  The amount got deducted and since then total silence, no update, nothing at my door. I have called the courier. I request you to look into this mattter at the earliest.

Sincerely,
Kayva Sen
Raipur",shipment not received | raised ticket with crr partner -> re-shipped from warehouse //HAR,legacy_fd
TK-240010,2024-07-09 19:25,2024-07-09 20:29,2024-07-10 14:36,resolved,chat,C104431,VR901642,VA-AC-CH65,Billing & Payments,High,Billing,A3034,,2,,,N,"Hey,
This is regarding 65W charger. Order not delivered, tracing not updating.
I called the courier. Nothing changed.
I am losing patience.
Please resolve asap.
Awaiting response, Rohan Chopra",see prev ~Megha,legacy_fd
TK-240011,2024-07-10 11:41,2024-07-10 12:59,2024-07-10 07:56,resolved,email,C100173,VR890881,VA-AC-CH65,Billing & Payments,Normal,Billing,A3027,,,,,N,"hii
the payment went through on the first try, the odrer has not gone through my front door yet
the gan charger","Cx says shipment not rcvd. conf address w/ cx. Transferred to Logistics. crr conf dlvry for 13 Jul, cx informed.",legacy_fd
TK-240012,2024-07-14 21:30,2024-07-14 22:10,2024-07-19 17:04,resolved,email,C107768,VR886409,VA-EB-PL1,Billing & Payments,High,Billing,A3031,,,,,N,"Hey,
Ordered the Pulse buds a month ago.  Paid but package not delivered even after 7 days.
I called the courier. Nothing changed.
What do I do now?
Thanks in advance, Shreya Patel","Cx says shipment not rcvd. Raised ticket with courier partner. Transferred to Logistics. Courier confirmed delivery for 20 Jul, cx informed. [closed]",legacy_fd
